bv_id,page,tyc2_id,label,ra_deg,de_deg,x,y,z,vt_mag,bt_mag,bv_color,gl_deg,gb_deg,gx,gy,gz,hip,plx_mas,e_plx_mas,dist_pc,dist_ly,dist_ly_naive,dist_quality,px_ly,py_ly,pz_ly,gx_ly,gy_ly,gz_ly,uid,date,n_view,link,src_x,src_y,src_prox,cid,title,part,token_row
BV1fW1KBFEdh,1,TYC 2761-595-1,15,342.04598169,37.41669388,0.755561588,-0.244826639,0.607607277,5.922,7.106,1.184,97.401424,-19.270097,-0.121602875,0.936108095,-0.33002178,112590,9.68,0.35,103.319,336.98,336.938,good,254.6091,-82.5017,204.7515,-40.9777,315.4497,-111.2107,3546873786796092,2025-10-31,8172,//player.bilibili.com/player.html?isOutside=true&aid=115467729509845&bvid=BV1fW1KBFEdh&cid=33555613545&p=1,0.75564814,-0.24485326,999,33555613545,『星尘原创』欢迎收看尘宝的跨次元Live Show！|《次元回响》,『星尘原创』欢迎收看尘宝的跨次元Live Show！|《次元回响》,0
BV1wZsbzeE5F,1,TYC 1644-2320-1,9,306.41886705,21.40964232,0.552716384,-0.749169651,0.365033467,5.775,6.84,1.065,63.024924,-9.481617,0.447405966,0.879028754,-0.164731151,100754,6.86,0.34,145.528,474.65,475.447,good,262.347,-355.5935,173.2632,212.3613,417.2312,-78.1897,3494359215376534,2025-10-22,1101,//player.bilibili.com/player.html?isOutside=true&aid=115417196658759&bvid=BV1wZsbzeE5F&cid=33298056063&p=1,0.55265903,-0.7492342,999,33298056063,【星尘填词】“把骨灰撒向大海 沾满你的泪”《日常革命》【ねぐせ】,【星尘填词】“把骨灰撒向大海 沾满你的泪”《日常革命》【ねぐせ】,1
BV1pcsazuEjm,1,TYC 3195-1021-1,63,324.36614134,44.69655057,0.577741392,-0.414138837,0.703351909,6.215,6.447,0.232,90.592234,-5.655015,-0.010285943,0.995080082,-0.098538471,106752,5.92,0.34,168.308,548.947,550.94,good,317.1497,-227.3405,386.1032,-5.6464,546.2467,-54.0924,2037893494,2025-10-22,2375,//player.bilibili.com/player.html?isOutside=true&aid=115418001841765&bvid=BV1pcsazuEjm&cid=33303625931&p=1,0.57770157,-0.4141791,999,33303625931,【星尘Infinity】行星 [原创曲],【星尘Infinity】行星 [原创曲],2
BV15WHLzBE3R,1,TYC 2687-2651-1,16,311.41564175,30.71971549,0.568690322,-0.644697663,0.510838763,4.334,5.556,1.222,73.304911,-7.631411,0.28473397,0.949363358,-0.132799778,102453,16.22,0.19,61.66,201.107,201.083,good,114.3674,-129.653,102.7331,57.2619,190.9233,-26.7069,504643796,2025-10-03,552,//player.bilibili.com/player.html?isOutside=true&aid=115310325668696&bvid=BV15WHLzBE3R&cid=32817155148&p=1,0.56864524,-0.64475495,999,32817155148,【星尘infinity】《没那么简单》（SynthesizerV Cover）,【星尘infinity】《没那么简单》（SynthesizerV Cover）,3
BV18XnJz3ECq,1,TYC 2165-436-1,68,309.26947527,26.46194842,0.566652716,-0.693067341,0.445603366,5.574,5.517,-0.057,68.726023,-8.696313,0.358656825,0.921143141,-0.151197209,101716,10.27,0.29,97.387,317.633,317.582,good,179.9878,-220.1413,141.5385,113.9213,292.5857,-48.0253,1009382753,2025-09-27,2073,//player.bilibili.com/player.html?isOutside=true&aid=115276670637407&bvid=BV18XnJz3ECq&cid=32678218961&p=1,0.56660485,-0.6931281,999,32678218961,[星尘infinity|中文翻调] 夜明けと蛍（黎明与萤火）“就算这一切都只是镜花水月。”,[星尘infinity|中文翻调] 夜明けと蛍（黎明与萤火）“就算这一切都只是镜花水月。”,4
BV1YoxLzSEhQ,1,TYC 3222-1935-1,54,340.40021516,41.5491194,0.705024856,-0.251045075,0.663261881,6.043,7.202,1.159,98.355005,-15.04416,-0.140325876,0.955476565,-0.259563447,112041,10.9,0.36,91.774,299.326,299.226,good,211.0326,-75.1444,198.5318,-42.0032,285.9994,-77.6942,1098229102,2025-10-06,16016,//player.bilibili.com/player.html?isOutside=true&aid=115325391605717&bvid=BV1YoxLzSEhQ&cid=32870961007&p=1,0.70507586,-0.25108021,999,32870961007,【星尘/妄想感伤代偿联盟】二元民族共治帝国,【星尘/妄想感伤代偿联盟】二元民族共治帝国,5
BV1o1HnzZEen,1,TYC 1621-2189-1,43,300.0137893,17.51651179,0.477013873,-0.825753246,0.300980634,5.574,7.433,1.859,56.427663,-6.493142,0.549442139,0.827843752,-0.113084296,98438,3.2,0.31,302.647,987.101,1019.239,good,470.8609,-815.102,297.0983,542.3549,817.1655,-111.6256,32720745,2025-10-02,1256,//player.bilibili.com/player.html?isOutside=true&aid=115298145471057&bvid=BV1o1HnzZEen&cid=32768593305&p=1,0.47690284,-0.82582307,967,32768593305,【星尘Infinity原创】旷野之心，彼方之梦【歌影回战S2】,【星尘Infinity原创】旷野之心，彼方之梦【歌影回战S2】,6
BV17PstzDEYX,1,TYC 5245-1215-1,48,345.3821245,-4.71145763,0.96436084,-0.251518491,-0.082137808,6.042,7.18,1.138,68.603092,-55.525369,0.206506885,0.527027176,-0.824376893,113686,2.21,0.57,362.209,1181.368,1475.821,poor,1139.265,-297.1359,-97.035,243.9606,622.613,-973.8924,493851957,2025-10-22,1131,//player.bilibili.com/player.html?isOutside=true&aid=115416089237316&bvid=BV17PstzDEYX&cid=33290391250&p=1,0.96459687,-0.25154823,999,33290391250,【星尘infinity/翻唱】《梦语》——“从今往后想说的故事，漫漫长长”（原PV付）,【星尘infinity/翻唱】《梦语》——“从今往后想说的故事，漫漫长长”（原PV付）,7
BV1eGxfzzEym,1,TYC 6340-1866-1,93,304.5058244,-21.80996392,0.525941353,-0.76508279,-0.371529297,5.962,7.124,1.162,21.500413,-28.307797,0.819149242,0.322678287,-0.474208015,100062,10.31,0.48,97.037,316.494,316.35,good,166.4572,-242.144,-117.5867,259.2557,102.1257,-150.0839,347775016,2025-10-08,1366,//player.bilibili.com/player.html?isOutside=true&aid=115337034990843&bvid=BV1eGxfzzEym&cid=32914604622&p=1,0.52586424,-0.76514953,999,32914604622,【星尘原创】等待天空放晴。,【星尘原创】等待天空放晴。,8
BV1DrnBzhEqf,1,TYC 579-1834-1,46,345.9692259,3.82004928,0.96801015,-0.24190436,0.066623053,4.461,4.339,-0.122,78.794236,-49.606786,0.125933575,0.635675406,-0.761615069,113889,7.99,0.22,125.127,408.11,408.206,good,395.0551,-98.7237,27.1896,51.3948,259.4258,-310.8231,524148806,2025-09-29,224,//player.bilibili.com/player.html?isOutside=true&aid=115286720186702&bvid=BV1DrnBzhEqf&cid=32717473635&p=1,0.9682487,-0.24193335,999,32717473635,【星尘infinity】月西江 Synthesizer V cover,【星尘infinity】月西江 Synthesizer V cover,9
BV1xQnBz9E3x,1,TYC 7973-1199-1,63,316.60633189,-41.38596249,0.545186374,-0.515443009,-0.661128068,5.66,7.272,1.612,0.37273,-42.253061,0.740166543,0.004815122,-0.672406353,104177,4.58,0.35,215.871,704.076,712.132,good,383.8527,-362.9111,-465.4845,521.1336,3.3902,-473.4253,3493124687006642,2025-09-30,1917,//player.bilibili.com/player.html?isOutside=true&aid=115288481729184&bvid=BV1xQnBz9E3x&cid=32772784232&p=1,0.54512346,-0.5154919,999,32772784232,【建国七十六周年特辑】Fiction  英烈  feat.星尘infinity,studio_video_1759160231884,10
BV14JxEzCEAp,1,TYC 2182-750-1,83,310.15116332,29.80556086,0.559509634,-0.663236108,0.49705818,6.053,6.224,0.171,71.90277,-7.322014,0.308097459,0.942779693,-0.127445701,102033,13.47,0.46,74.294,242.313,242.135,good,135.5767,-160.711,120.4439,74.6562,228.4482,-30.8818,493704057,2025-10-06,557,//player.bilibili.com/player.html?isOutside=true&aid=115328126490487&bvid=BV14JxEzCEAp&cid=32884197934&p=1,0.5594573,-0.6632958,999,32884197934,【星尘Infinity】HB To 旱鸭子 |《到时说爱我》【R&B】,【星尘Infinity】HB To 旱鸭子 |《到时说爱我》【R&B】,11
BV1LRW2zvE5j,1,TYC 1617-764-1,61,300.87506966,16.03125452,0.493211361,-0.824910469,0.276161678,5.641,5.526,-0.115,55.578048,-7.968132,0.55982546,0.816932872,-0.138622283,98754,5.11,0.32,194.492,634.347,638.271,good,312.8669,-523.2791,175.1822,355.1233,518.2185,-87.9346,3493124687006642,2025-10-20,507,//player.bilibili.com/player.html?isOutside=true&aid=115407432195843&bvid=BV1LRW2zvE5j&cid=33250217104&p=1,0.4931116,-0.8249804,999,33250217104,【翻调】人生和只身一人的旅程 feat.星尘Infinity,studio_video_1760977407137.mp4,12
BV1fNsTzbEp2,1,TYC 2159-2070-1,3,305.5142934,24.4460984,0.528828385,-0.74099897,0.413837004,5.508,5.407,-0.101,65.090583,-7.086585,0.417967397,0.900046282,-0.12336914,100435,3.27,0.46,288.028,939.421,997.42,good,496.7926,-696.1102,388.7673,392.6475,845.5226,-115.8956,474601742,2025-10-20,689,//player.bilibili.com/player.html?isOutside=true&aid=115403372106470&bvid=BV1fNsTzbEp2&cid=33225703822&p=1,0.52875423,-0.7410629,999,33225703822,左撕右裂 feat.星尘【Synth V COVER】,studio_video_1760889286568.mp4,13
BV1qhxUz2ET9,1,TYC 5820-1291-1,80,346.29078873,-7.69379531,0.962765201,-0.234860843,-0.133878869,5.472,5.794,0.322,65.673253,-58.199162,0.217079176,0.480179287,-0.849884983,113996,15.57,0.61,64.307,209.74,209.477,good,201.9302,-49.2597,-28.0797,45.5301,100.7127,-178.2547,593843788,2025-10-21,3868,//player.bilibili.com/player.html?isOutside=true&aid=115330508725689&bvid=BV1qhxUz2ET9&cid=32784517586&p=1,0.962999,-0.23489374,999,32784517586,【星尘x星尘】Burn Like A Star【中文填词/原创PV】,【星尘x星尘】Burn Like A Star【中文填词/原创PV】,14
BV1yNWXzAEJa,1,TYC 7465-1445-1,47,312.49202586,-33.7797206,0.561452663,-0.612889292,-0.55600146,4.999,6.14,1.141,9.880285,-38.263738,0.773523185,0.134727152,-0.619282227,102831,8.62,0.71,115.901,378.019,378.372,good,212.2397,-231.6837,-210.179,292.4063,50.9294,-234.1003,3546603843487946,2025-10-21,1487,//player.bilibili.com/player.html?isOutside=true&aid=115410418533434&bvid=BV1yNWXzAEJa&cid=33310244936&p=1,0.56140184,-0.6129447,999,33310244936,[IsuChanOfficial]初恋日记 中文填词/翻唱[星尘],FINALFIXFIANL,15
